Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-05-10,6901.3740234375,6970.158482142857,6649.164341517857,6649.164341517857,268445700
2022-05-11,7016.0146484375,7061.870953329249,6832.589428870507,6901.373886208129,156535200
2022-05-12,6672.0927734375,6924.302465904209,6672.0927734375,6901.374312043599,240529600
2022-05-13,6717.94873046875,6855.517646451045,6649.164272477602,6649.164272477602,212968600
2022-05-17,6786.73291015625,6855.517365326753,6672.092151538745,6672.092151538745,159657600
2022-05-18,6947.23046875,6947.23046875,6763.80524185231,6878.446008663366,153514300
2022-05-19,6832.58984375,6855.517997588087,6763.805382235738,6786.733536073825,140908900
2022-05-20,6786.73291015625,6855.517365326753,6786.73291015625,6809.661061879751,86520200
2022-05-23,6763.80517578125,6855.517788334216,6740.877022643008,6832.589635195975,71603500
2022-05-24,6740.876953125,6855.517717633928,6717.948800223215,6717.948800223215,108710800
2022-05-25,6763.80517578125,6832.589635195975,6740.877022643008,6786.733328919491,76747400
2022-05-27,6947.23046875,6947.23046875,6855.517855301155,6901.374162025578,84336900
2022-05-30,6947.23046875,6970.158622112211,6855.517855301155,6947.23046875,105411400
2022-05-31,7107.72802734375,7107.72802734375,6901.374633001512,6970.159097782258,286292700
2022-06-02,6947.23046875,7038.943082198844,6901.374162025578,6993.086775474422,149226300
2022-06-03,6970.15869140625,7038.9431521767065,6947.230537816098,6970.15869140625,80563100
2022-06-06,6832.58984375,6947.230612940436,6809.661689911913,6924.302459102349,81140300
2022-06-07,6763.80517578125,6855.517788334216,6695.020716366525,6695.020716366525,129242500
2022-06-08,6970.15869140625,6970.15869140625,6809.661616275185,6878.446077045642,108910500
2022-06-09,6878.4462890625,6947.230751953125,6878.4462890625,6878.4462890625,107828300
2022-06-10,6740.876953125,6832.589564732143,6740.876953125,6786.733258928572,111768600
2022-06-13,6740.876953125,6786.733258928572,6672.092494419643,6695.020647321428,85539500
2022-06-14,6786.73291015625,6786.73291015625,6649.163999815245,6695.020303262247,80865100
2022-06-15,6717.94873046875,6763.805035796182,6695.020577805034,6695.020577805034,130367100
2022-06-16,6947.23046875,6970.158622112211,6763.80524185231,6786.733395214521,132666300
2022-06-17,6878.4462890625,6924.30259765625,6809.661826171875,6809.661826171875,117839400
2022-06-20,6993.08642578125,7016.014577996926,6878.445664702868,6970.158273565574,88138700
2022-06-21,7016.0146484375,7016.0146484375,6924.302038654004,6970.158343545751,44295700
2022-06-22,6878.4462890625,7016.01521484375,6878.4462890625,6993.087060546875,53041800
2022-06-23,6901.3740234375,6947.230329241072,6832.589564732143,6832.589564732143,60443000
2022-06-24,6855.51806640625,6970.1588367474915,6855.51806640625,6970.1588367474915,57956600
2022-06-27,6740.876953125,6878.445870535715,6740.876953125,6855.517717633928,76354100
2022-06-28,6695.02099609375,6786.733612478596,6695.02099609375,6695.02099609375,146078100
2022-06-29,6672.0927734375,6786.73354274055,6672.0927734375,6717.949081158719,98517800
